      0.328532E-02    0.618470E+05   -0.202499E+05    0.122371E+05    0.922063E+09    0.404733E+09    0.965786E+09    0.111103E-03    0.130000E+02
      0.580906E-02    0.991193E+05    0.140499E+05   -0.168028E+05    0.119054E+09    0.160017E+08    0.457665E+08    0.984344E-03    0.370000E+02
      0.816997E-02    0.107264E+06   -0.596560E+04    0.459740E+05    0.173431E+08    0.303416E+07   -0.108270E+07    0.296336E-02    0.570000E+02
      0.106375E-01    0.938211E+05    0.360560E+05   -0.125219E+05    0.648486E+07    0.154753E+07    0.281992E+07    0.572122E-02    0.121000E+03
      0.133534E-01    0.100473E+06    0.633637E+05    0.301551E+03    0.361327E+07    0.212572E+06    0.595818E+05    0.121197E-01    0.189000E+03
      0.160212E-01    0.120289E+06   -0.174960E+05    0.504500E+05    0.140560E+07    0.393165E+06    0.658894E+06    0.250600E-01    0.245000E+03
      0.185121E-01    0.121971E+06   -0.323300E+05    0.128858E+05    0.612325E+06    0.117313E+06    0.299262E+06    0.392007E-01    0.321000E+03
      0.210068E-01    0.101852E+06   -0.141104E+03    0.620006E+04    0.663766E+06    0.736717E+05    0.185913E+06    0.478317E-01    0.405000E+03
      0.237125E-01    0.892652E+05    0.258713E+05   -0.119653E+05    0.324392E+06    0.736250E+04    0.755785E+05    0.602955E-01    0.605000E+03
      0.264264E-01    0.880534E+05    0.186024E+05    0.349385E+05    0.168890E+06    0.308098E+05    0.114635E+06    0.823249E-01    0.653000E+03
      0.289588E-01    0.860548E+05    0.137756E+05   -0.181370E+04    0.167471E+06    0.111533E+05    0.546819E+05    0.105873E+00    0.765000E+03
      0.314925E-01    0.767133E+05    0.174253E+05   -0.121904E+05    0.125773E+06    0.893042E+04    0.364240E+05    0.121385E+00    0.941000E+03
      0.341493E-01    0.647536E+05    0.135494E+05    0.768388E+04    0.591477E+05    0.102103E+05    0.334428E+05    0.130641E+00    0.113300E+04
      0.367923E-01    0.621268E+05    0.130426E+05    0.892787E+04    0.598951E+05    0.583785E+04    0.209578E+05    0.156755E+00    0.129300E+04
      0.393122E-01    0.609421E+05    0.150671E+05   -0.120555E+05    0.561469E+05    0.293054E+04    0.155023E+05    0.187572E+00    0.135300E+04
      0.419000E-01    0.540844E+05    0.690882E+04   -0.248222E+05    0.285161E+05    0.429223E+04    0.150468E+05    0.201551E+00    0.172500E+04
      0.445928E-01    0.529820E+05    0.447753E+04   -0.126852E+05    0.258293E+05    0.204209E+04    0.107260E+05    0.238009E+00    0.191700E+04
      0.472645E-01    0.484110E+05    0.101280E+05   -0.105747E+05    0.275528E+05    0.908627E+03    0.825739E+04    0.258952E+00    0.214100E+04
      0.498393E-01    0.447948E+05    0.271842E+04    0.647430E+02    0.168608E+05    0.209673E+04    0.852567E+04    0.280941E+00    0.223700E+04
      0.524081E-01    0.426980E+05    0.110768E+04    0.181294E+04    0.128110E+05    0.152085E+04    0.665835E+04    0.311367E+00    0.257300E+04
      0.550604E-01    0.419226E+05    0.465958E+04   -0.903942E+03    0.151551E+05    0.305570E+03    0.394379E+04    0.354516E+00    0.292900E+04
      0.576908E-01    0.429172E+05    0.373194E+04    0.435382E+04    0.108365E+05    0.585724E+03    0.427953E+04    0.417467E+00    0.306100E+04
      0.602723E-01    0.397797E+05    0.278849E+04   -0.291181E+04    0.710817E+04    0.926124E+03    0.396148E+04    0.441250E+00    0.337300E+04
      0.628562E-01    0.385179E+05    0.314252E+04    0.639476E+04    0.854868E+04    0.382739E+03    0.262684E+04    0.484593E+00    0.363700E+04
      0.654900E-01    0.373430E+05    0.551486E+04    0.980266E+03    0.738230E+04    0.301636E+03    0.231798E+04    0.531379E+00    0.410100E+04
      0.681441E-01    0.344741E+05    0.118670E+04   -0.848453E+03    0.430710E+04    0.745645E+03    0.250232E+04    0.552649E+00    0.438500E+04
      0.707612E-01    0.338406E+05   -0.117285E+04   -0.224683E+04    0.502119E+04    0.558713E+03    0.195793E+04    0.607429E+00    0.461300E+04
      0.733762E-01    0.311932E+05    0.150143E+04   -0.422723E+04    0.500582E+04    0.334028E+03    0.154508E+04    0.624304E+00    0.507300E+04
      0.760002E-01    0.299027E+05    0.176093E+04    0.222843E+04    0.312420E+04    0.616823E+03    0.185564E+04    0.665006E+00    0.536100E+04
      0.786052E-01    0.278059E+05    0.447245E+04   -0.137623E+04    0.308117E+04    0.521490E+03    0.151652E+04    0.684166E+00    0.571300E+04
      0.812122E-01    0.262207E+05    0.110512E+04    0.836229E+02    0.359126E+04    0.317106E+03    0.115693E+04    0.711505E+00    0.616900E+04
      0.838117E-01    0.259195E+05    0.932584E+03   -0.118095E+04    0.247092E+04    0.491035E+03    0.127264E+04    0.773054E+00    0.639700E+04
      0.864136E-01    0.252578E+05    0.310236E+04   -0.255403E+04    0.198810E+04    0.441815E+03    0.113085E+04    0.825680E+00    0.700500E+04
      0.890577E-01    0.239189E+05    0.212994E+04   -0.304267E+04    0.249663E+04    0.286620E+03    0.865510E+03    0.855903E+00    0.748900E+04
      0.916814E-01    0.223240E+05   -0.935109E+03   -0.182084E+04    0.197718E+04    0.342497E+03    0.942748E+03    0.871539E+00    0.770900E+04
      0.942902E-01    0.209691E+05   -0.492040E+03   -0.300105E+04    0.141266E+04    0.386027E+03    0.925406E+03    0.890532E+00    0.834100E+04
      0.969183E-01    0.195327E+05    0.140976E+04   -0.132389E+04    0.178735E+04    0.254533E+03    0.750612E+03    0.900842E+00    0.868900E+04
